epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1797.25,1.41789,8.01694,1.53282,0.78066,0.74767,0.80904,0.5156,1.43953,9.39181,1.56613,0.00820525,0.00820525,0.00820525
44,1838.6,1.48678,8.08228,1.53231,0.75545,0.71063,0.77571,0.45059,1.59594,10.3195,1.62459,0.00812468,0.00812468,0.00812468
45,1882.81,1.38947,7.65747,1.56119,0.82219,0.75824,0.8307,0.4576,1.50183,8.80099,1.57871,0.00804277,0.00804277,0.00804277
46,1924.23,1.38998,7.52931,1.52512,0.70189,0.78237,0.79184,0.36066,1.74354,10.665,1.70157,0.00795954,0.00795954,0.00795954
47,1965.64,1.42361,7.67709,1.55075,0.6932,0.77981,0.7567,0.46929,1.38878,8.75043,1.53322,0.00787503,0.00787503,0.00787503
48,2007.74,1.39118,7.4663,1.53532,0.63382,0.72401,0.68995,0.42788,1.4049,9.85125,1.56578,0.00778929,0.00778929,0.00778929
49,2048.68,1.39077,7.33444,1.52524,0.74025,0.7967,0.81358,0.50413,1.32492,8.18765,1.48942,0.00770234,0.00770234,0.00770234
50,2090.33,1.35042,7.2146,1.50666,0.7172,0.76532,0.78646,0.48536,1.35093,8.75313,1.5057,0.00761423,0.00761423,0.00761423
51,2133.22,1.35081,7.43067,1.49135,0.78244,0.76495,0.82137,0.51153,1.35108,8.00607,1.50514,0.007525,0.007525,0.007525
52,2174.59,1.33617,7.2755,1.53821,0.72791,0.75932,0.82768,0.5257,1.31112,8.29779,1.4933,0.00743468,0.00743468,0.00743468
53,2216.08,1.31123,6.92826,1.51763,0.71286,0.85132,0.83637,0.54167,1.28961,7.90689,1.48198,0.00734332,0.00734332,0.00734332
54,2257.6,1.30868,7.1171,1.53206,0.67427,0.83196,0.82925,0.52303,1.32358,7.71343,1.52537,0.00725094,0.00725094,0.00725094
55,2299.08,1.33183,6.96926,1.5199,0.77713,0.82411,0.8516,0.53579,1.33091,7.6802,1.5185,0.00715761,0.00715761,0.00715761
56,2339.49,1.30313,7.0253,1.4932,0.80694,0.82658,0.89452,0.55521,1.29302,7.39501,1.49676,0.00706335,0.00706335,0.00706335
57,2381.52,1.29949,7.19781,1.46855,0.81499,0.84046,0.8758,0.56237,1.30024,7.40258,1.51074,0.0069682,0.0069682,0.0069682
58,2423.63,1.26666,6.85846,1.47901,0.83182,0.81788,0.88232,0.57155,1.26539,7.48008,1.50282,0.00687222,0.00687222,0.00687222
59,2465.07,1.25248,6.58787,1.50086,0.79847,0.76126,0.84923,0.53519,1.33829,8.47645,1.50131,0.00677543,0.00677543,0.00677543
60,2506.06,1.28461,6.56145,1.52475,0.84226,0.82142,0.89183,0.57784,1.29871,7.15266,1.49262,0.00667789,0.00667789,0.00667789
61,2547.39,1.25134,6.5144,1.5071,0.85302,0.7633,0.88391,0.57168,1.32233,7.55649,1.50448,0.00657963,0.00657963,0.00657963
