epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5391.71,1.50982,9.2965,1.91951,0.73236,0.78243,0.83053,0.49652,1.34412,9.05318,1.83316,0.00828443,0.00828443,0.00828443
43,5490.72,1.50396,9.52426,1.93611,0.76226,0.74948,0.80662,0.47821,1.43563,9.8796,1.89015,0.00820525,0.00820525,0.00820525
44,5594.82,1.44954,8.68952,1.83952,0.67077,0.67367,0.68953,0.39398,1.57607,10.7977,2.01382,0.00812468,0.00812468,0.00812468
45,5693.15,1.45846,9.11316,1.9312,0.67393,0.66099,0.74432,0.41045,1.55981,11.8115,2.02842,0.00804277,0.00804277,0.00804277
46,5792.64,1.44132,8.57876,1.89132,0.81417,0.82211,0.86989,0.52943,1.40686,9.01006,1.86196,0.00795954,0.00795954,0.00795954
47,5891.69,1.43167,8.4474,1.895,0.78969,0.81739,0.86419,0.52539,1.30172,8.65836,1.80663,0.00787503,0.00787503,0.00787503
48,5990.84,1.45158,8.5221,1.86055,0.69879,0.77187,0.79868,0.45204,1.37936,9.88825,1.8285,0.00778929,0.00778929,0.00778929
49,6089.39,1.39743,8.3529,1.89741,0.7485,0.68404,0.80335,0.43749,1.35091,9.7657,1.88034,0.00770234,0.00770234,0.00770234
50,6189.36,1.40046,8.53021,1.87946,0.8314,0.74464,0.84798,0.54452,1.27853,8.19764,1.85034,0.00761423,0.00761423,0.00761423
51,6289.36,1.41006,8.44243,1.81783,0.75783,0.68055,0.80694,0.49124,1.39492,9.27924,1.91435,0.007525,0.007525,0.007525
52,6389.07,1.40957,8.56964,1.95686,0.71888,0.71929,0.79103,0.47932,1.44168,9.74006,1.95077,0.00743468,0.00743468,0.00743468
53,6490.14,1.40945,8.10191,1.92189,0.78333,0.81589,0.87683,0.55634,1.27925,8.0179,1.82706,0.00734332,0.00734332,0.00734332
54,6588.79,1.34873,7.66616,1.87701,0.81804,0.78527,0.86418,0.54403,1.34518,9.12253,1.84057,0.00725094,0.00725094,0.00725094
55,6687.62,1.3544,7.47398,1.85355,0.80799,0.82011,0.88887,0.56141,1.31928,8.14887,1.86313,0.00715761,0.00715761,0.00715761
56,6785.73,1.30095,7.18886,1.82131,0.81503,0.74154,0.82923,0.52028,1.35399,8.19333,1.89913,0.00706335,0.00706335,0.00706335
57,6883.89,1.37913,7.66941,1.8346,0.79586,0.79524,0.86543,0.59058,1.26007,8.57974,1.79795,0.0069682,0.0069682,0.0069682
58,6983.42,1.38581,7.42087,1.84133,0.84004,0.80547,0.88778,0.56444,1.315,8.02186,1.79868,0.00687222,0.00687222,0.00687222
59,7082.51,1.3859,7.30676,1.86158,0.75408,0.74596,0.81831,0.48838,1.4963,9.21205,1.90743,0.00677543,0.00677543,0.00677543
60,7181.8,1.31812,7.03386,1.85877,0.58364,0.71641,0.69016,0.43917,1.3793,12.6552,1.87862,0.00667789,0.00667789,0.00667789
61,7284.26,1.29018,7.06555,1.8417,0.81359,0.7787,0.8782,0.57451,1.27638,8.18273,1.83103,0.00657963,0.00657963,0.00657963
